n,rand_std,rand_hyb,rev_std,rev_hyb,alm_std,alm_hyb
83900,17,17,9,8,5,5
84000,17,15,9,9,6,5
84100,17,16,9,8,6,6
84200,17,17,9,8,6,5
84300,18,16,9,9,6,5
84400,17,15,9,8,5,5
84500,17,15,9,8,5,5
84600,17,15,9,8,6,5
84700,17,15,9,8,5,5
84800,18,16,9,9,7,6
84900,19,16,9,8,6,5
85000,18,15,9,8,6,6
85100,17,15,9,8,5,5
85200,17,15,9,9,6,5
85300,17,15,9,8,6,6
85400,18,15,9,8,6,6
85500,19,19,34,33,11,8
85600,26,20,11,11,7,7
85700,20,17,10,11,8,7
85800,22,23,12,17,13,11
85900,25,20,11,13,8,7
86000,23,19,11,10,7,7
86100,20,19,10,10,7,6
86200,19,17,10,9,6,6
86300,18,17,10,9,6,5
86400,18,17,9,9,6,6
86500,17,17,9,9,6,6
86600,17,17,10,9,6,6
86700,19,16,9,9,6,6
86800,18,16,9,8,6,6
86900,18,16,9,9,6,5
87000,18,16,9,9,6,6
87100,18,18,9,9,6,6
87200,19,17,9,9,7,7
87300,19,17,10,10,7,7
87400,21,18,10,11,6,6
87500,20,18,10,10,17,21
87600,20,19,11,10,7,6
87700,21,19,11,10,6,6
87800,19,18,10,10,7,6
87900,20,18,10,10,7,7
88000,21,19,9,9,6,6
88100,18,16,9,9,6,6
88200,19,18,9,9,6,6
88300,21,18,10,10,7,6
88400,20,18,10,9,7,6
88500,22,20,11,9,7,6
88600,18,17,9,9,6,6
88700,19,17,9,10,6,7
88800,19,23,10,10,6,6
88900,19,17,10,10,6,6
89000,18,16,9,9,7,6
89100,18,16,9,9,6,6
89200,19,17,11,9,6,6
89300,18,17,9,9,6,6
89400,18,17,9,9,6,6
89500,18,16,10,9,6,6
89600,19,18,10,10,7,6
89700,19,16,10,10,7,6
89800,18,16,9,10,7,6
89900,18,16,9,9,6,7
90000,19,18,9,9,6,6
90100,18,16,9,9,6,6
90200,20,17,9,10,6,6
90300,19,17,9,9,6,6
90400,19,18,10,9,6,6
90500,19,17,10,11,6,7
90600,19,17,9,9,7,7
90700,20,17,10,9,6,7
90800,19,16,9,9,6,6
90900,19,16,9,9,6,7
91000,20,17,9,9,6,6
91100,18,17,9,10,7,6
91200,20,18,10,10,7,6
91300,19,17,10,9,8,7
91400,20,18,10,10,6,6
91500,21,18,10,10,6,7
91600,20,18,9,10,6,7
91700,19,18,10,9,7,6
91800,19,19,10,9,6,6
91900,20,18,10,9,7,6
92000,19,17,12,10,6,6
92100,21,35,25,19,12,20
92200,43,43,20,18,11,10
